"Buyer                  ","Proj. ","SWBS","Item            ","Description         ","Linked STD Item ","EBOM Qty","Orig.   ","Consum  ","Remain  ","Group ","Supplier","Hold","MRIY Date ","LTime","SHLF LF ","Plan Or.Dt","UOM","On Hand ","On Order","Alloc   ","    EFDB      "," Act. Issue   ","Shortage"
"  8018 SCHELL, KEN     ","479","610","    610-00-00002","SRVC, FIRE EXTINGUIS","SRV525-032200005","1","1","0","1","  SRVC","        ","No  ","02/04/2016","123","0","10/04/2015","LO ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","479","982","    982-01-00140","CLEANING OF LINENS  ","SRV300-012000005","1","1","0","1","  SRVC","        ","No  ","12/14/2015","123","0","08/13/2015","LO ","0","0","0","1","0","1"
"  8018 SCHELL, KEN     ","479","992","    992-01-VS004","VSR, MISC. SCAFFOLDI","                ","1","1","0","1","  SRVC","        ","No  ","12/14/2015","123","0","08/13/2015","DOL","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","479","161","    161-02-SEGAB","ASSEMBLY CONSISTING ","090300-000000001","1","1","0","1","9","100163","No  ","09/20/2016","123","0","05/20/2016","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","479","180","    180-24-7026B","SRVC, TO PROVIDE BEA","SRV521-030900572","1","1","0","1","  SRVC","        ","No  ","02/04/2016","123","0","10/04/2015","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","479","201","    201-A1-00001","BASE, MOUNTING GUARD","180433-000000006","16","16","0","16","18","        ","No  ","02/04/2016","42","0","12/24/2015","EA ","0","0","0","16","0","16"
"  8019 EBSCH, KRISTI   ","479","259","    259-05-SP021","FABRICATION, INCONEL","SRV527-030500004","1","1","0","1","  SRVC","        ","No  ","02/22/2016","123","0","10/22/2015","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","479","259","    259-05-SP022","FABRICATION, INCONEL","SRV527-030500005","1","1","0","1","  SRVC","        ","No  ","01/12/2016","123","0","09/11/2015","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","479","321","    321-02-00668","SERVICE, VENDOR, TO ","SRV526-030600022","1","1","0","1","  SRVC","        ","No  ","12/14/2015","123","0","08/13/2015","EA ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","479","505","    505-01-CAP01","CAP, 5-1/4"" SQUARE, ","540400-000000004","10","10","10","0","54","100788","No  ","12/14/2015","180","0","06/17/2015","EA ","6","0","10","10","0","4"
"  8019 EBSCH, KRISTI   ","479","612","    612-02-00006","BOLT, HEX HD, 1/2-13","710130020035-551","128","128","128","0","71","105661","No  ","07/29/2016","0","0","07/29/2016","EA ","0","0","128","128","0","128"
"  8019 EBSCH, KRISTI   ","479","612","    612-02-00007","WASHER, FLAT, 1/2"", ","710830000032-552","128","128","128","0","71","105661","No  ","07/29/2016","0","0","07/29/2016","EA ","0","0","128","128","0","128"
"  8019 EBSCH, KRISTI   ","479","612","    612-02-00008","NUT, HEX, SELF LKG, ","716330020022-553","128","128","128","0","71","105661","No  ","07/29/2016","0","0","07/29/2016","EA ","0","0","128","128","0","128"
"  8019 EBSCH, KRISTI   ","479","612","    612-02-0S6BA","SUB ASSEMBLY S6BA HI","180201-000000002","48","48","0","48","18","        ","No  ","06/07/2016","123","0","02/05/2016","EA ","0","0","0","48","0","48"
"  8019 EBSCH, KRISTI   ","479","612","    612-02-0S6FA","SUB ASSEMBLY S6FA HI","180201-000000004","12","12","0","12","18","105661","No  ","06/07/2016","123","0","02/05/2016","EA ","0","0","0","12","0","12"
"  8019 EBSCH, KRISTI   ","479","612","    612-02-0S6KA","SUB ASSY S6KA BRACKE","724315450100-001","4","4","0","4","72","        ","No  ","08/01/2016","14","0","07/18/2016","EA ","0","0","0","4","0","4"
"  8019 EBSCH, KRISTI   ","479","665","    665-01-087AD","VERTICAL RETAINING B","780800-000000020","13","13","0","13","78","        ","No  ","04/21/2017","0","0","04/21/2017","EA ","0","0","0","13","0","13"
"  8019 EBSCH, KRISTI   ","479","995","    995-01-00023","VENDOR SERVICES TO P","SRV521-032200358","4","4","0","4","  SRVC","100774","No  ","12/14/2015","123","0","08/13/2015","LO ","0","0","0","4","0","4"
"  8019 EBSCH, KRISTI   ","479","999","    999-01-00002","KEEL PLATE, SST 316,","100402-000000014","3","3","0","3","10","33670","No  ","12/14/2015","180","0","06/17/2015","EA ","0","0","0","3","0","3"
"  8019 EBSCH, KRISTI   ","479","999","    999-01-00004","EVENT PLAQUE, SSTL, ","740000-000000001","50","50","0","50","74","33670","No  ","12/14/2015","123","0","08/13/2015","EA ","0","0","0","50","0","50"
"  8019 EBSCH, KRISTI   ","479","127","127-01-53301-L11","CERTIFICATES, REGULA","            -L11","1","1","0","1","16","        ","No  ","01/03/2017","60","0","11/04/2016","LO ","0","0","0","1","0","1"
"  8019 EBSCH, KRISTI   ","479","127","127-01-53301-L26","CERTIFICATE, IDENTIC","            -L26","1","1","0","1","16","        ","No  ","01/03/2017","60","0","11/04/2016","EA ","0","0","0","1","0","1"
